X Coordinates: ,Y Coordinates: ,Angle (Radian): ,Angle (Degree): ,Distance (Milimeters): 
322.387,-567.294,5.22917,299.609,652.5
339.845,-564.904,5.25398,301.031,659.25
355.138,-562.525,5.27553,302.266,665.25
371.567,-558.73,5.29925,303.625,671
388.509,-558.087,5.32052,304.844,680
427.193,-559.573,5.36443,307.359,704
454.9,-572.213,5.38406,308.484,731
463.194,-554.163,5.40861,309.891,722.25
484.054,-554.093,5.43042,311.141,735.75
503.798,-552.218,5.45197,312.375,747.5
534.889,-561.51,5.47351,313.609,775.5
778.964,-97.1587,6.1591,352.891,785
776.885,-77.5903,6.18364,354.297,780.75
775.234,-59.3149,6.20682,355.625,777.5
770.817,-42.7199,6.22782,356.828,772
768.872,-24.1249,6.25182,358.203,769.25
770.199,-8.82612,6.27173,359.344,770.25
X Coordinates: ,Y Coordinates: ,Angle (Radian): ,Angle (Degree): ,Distance (Milimeters): 
763.661,11.6632,0.0152716,0.875,763.75
761.968,28.4811,0.0373609,2.14062,762.5
762.126,45.7792,0.0599956,3.4375,763.5
771.875,63.7139,0.0823577,4.71875,774.5
0,0,0.129263,7.40625,0
1936.14,252.212,0.129536,7.42188,1952.5
1889.58,290.306,0.152443,8.73438,1911.75
1884.18,332.232,0.174533,10,1913.25
1905.53,382.276,0.197986,11.3438,1943.5
1894.67,423.835,0.220075,12.6094,1941.5
1698.98,422.618,0.2438,13.9688,1750.75
1676.32,457.016,0.266162,15.25,1737.5
1670.85,495.423,0.288252,16.5156,1742.75
1673.82,538.31,0.311159,17.8281,1758.25
1692.86,585.482,0.332976,19.0781,1791.25
1706.66,634.383,0.355883,20.3906,1820.75
3504.86,1734.35,0.459512,26.3281,3910.5
1639.36,873.384,0.48951,28.0469,1857.5
1621.01,909.551,0.511326,29.2969,1858.75
549.662,360.802,0.580867,33.2812,657.5
517.803,357.541,0.60432,34.625,629.25
505.526,365.813,0.626409,35.8906,624
478.29,367.626,0.655316,37.5469,603.25
467.382,373.44,0.674133,38.625,598.25
455.031,381.816,0.698131,40,594
443.512,390.234,0.721584,41.3438,590.75
434.829,401.731,0.745855,42.7344,592
361.485,354.069,0.775035,44.4062,506
343.722,353.418,0.799306,45.7969,493
327.958,354.588,0.824395,47.2344,483
316.002,356.978,0.846211,48.4844,476.75
81.5488,123.207,0.98611,56.5,147.75
71.5908,117.978,1.02538,58.75,138
71.1069,117.686,1.02729,58.8594,137.5
0,0,1.04911,60.1094,0
68.2909,120.78,1.0562,60.5156,138.75
0,0,1.07174,61.4062,0
65.0978,125.636,1.09274,62.6094,141.5
65.6729,126.746,1.09274,62.6094,142.75
63.3725,129.306,1.1151,63.8906,144
61.0952,132.052,1.13746,65.1719,145.5
60.4384,158.091,1.20564,69.0781,169.25
55.1237,154.458,1.228,70.3594,164
51.2625,154.466,1.25036,71.6406,162.75
48.0895,156.529,1.27273,72.9219,163.75
40.8747,158.05,1.31772,75.5,163.25
37.1158,158.204,1.34036,76.7969,162.5
33.4658,158.506,1.36272,78.0781,162
0,0,1.36326,78.1094,0
29.7747,158.477,1.38508,79.3594,161.25
22.9667,162.131,1.43008,81.9375,163.75
0,0,1.45326,83.2656,0
0,0,1.47562,84.5469,0
15.1484,184.128,1.48871,85.2969,184.75
10.2688,186.217,1.51571,86.8438,186.5
6.95681,188.872,1.53398,87.8906,189
0,0,1.56534,89.6875,0
0,0,1.5877,90.9688,0
-5.96617,200.661,1.60052,91.7031,200.75
0,0,1.61034,92.2656,0
-10.6077,203.474,1.62288,92.9844,203.75
0,0,1.6327,93.5469,0
-15.4151,206.676,1.64524,94.2656,207.25
0,0,1.65506,94.8281,0
0,0,1.67742,96.1094,0
0,0,1.70006,97.4062,0
0,0,1.76742,101.266,0
-60.657,259.505,1.80041,103.156,266.5
-86.4142,314.598,1.83887,105.359,326.25
0,0,1.90186,108.969,0
-654.906,1890.26,1.90432,109.109,2000.5
-1383.15,2476.13,2.08021,119.188,2836.25
-1434.87,2438.98,2.10257,120.469,2829.75
