X Coordinates: ,Y Coordinates: ,Angle (Radian): ,Angle (Degree): ,Distance (Milimeters): 
-339.81,-50.2156,3.28831,188.406,343.5
-337.051,-59.4301,3.31612,190,342.25
-334.648,-64.1961,3.33112,190.859,340.75
-332.18,-72.5019,3.35648,192.312,340
-331.711,-82.2236,3.38457,193.922,341.75
-328.961,-85.9359,3.39712,194.641,340
-328.467,-95.2528,3.42384,196.172,342
-324.178,-104.159,3.45248,197.812,340.5
-322.537,-111.451,3.47429,199.062,341.25
-321.386,-117.669,3.49256,200.109,342.25
-319.048,-123.869,3.51193,201.219,342.25
-316.062,-133.245,3.54056,202.859,343
-314.489,-139.402,3.55883,203.906,344
-312.498,-148.53,3.58529,205.422,346
-310.361,-154.634,3.60383,206.484,346.75
-308.728,-162.751,3.62674,207.797,349
-306.29,-169.887,3.64801,209.016,350.25
-304.551,-177.496,3.66928,210.234,352.5
-303.855,-185.973,3.69082,211.469,356.25
-300.304,-192.582,3.71182,212.672,356.75
-297.904,-202.122,3.73773,214.156,360
0,0,3.79691,217.547,0
-315.779,-536.751,4.18061,239.531,622.75
-290.404,-641.861,4.28751,245.656,704.5
-266.357,-628.922,4.31178,247.047,683
-247.945,-625.931,4.33523,248.391,673.25
-232.223,-624.736,4.3565,249.609,666.5
-213.255,-618.783,4.3805,250.984,654.5
-196.982,-619.434,4.4045,252.359,650
-183.316,-617.619,4.42386,253.469,644.25
-165.541,-615.114,4.4495,254.938,637
-150.149,-612.875,4.47213,256.234,631
-135.881,-611.331,4.49367,257.469,626.25
-119.818,-607.548,4.51767,258.844,619.25
-106.544,-605.193,4.53812,260.016,614.5
-92.3524,-605.498,4.56103,261.328,612.5
-76.0421,-602.974,4.58694,262.812,607.75
-62.8016,-602.234,4.60848,264.047,605.5
-50.4273,-600.888,4.62866,265.203,603
-36.1566,-599.16,4.65212,266.547,600.25
-22.339,-597.583,4.67502,267.859,598
5.73392,-600.973,4.72193,270.547,601
19.1092,-609.2,4.74375,271.797,609.5
32.6846,-589.845,4.76774,273.172,590.75
46.1867,-588.942,4.79065,274.484,590.75
58.6531,-587.329,4.81192,275.703,590.25
70.4522,-587.038,4.83183,276.844,591.25
84.3945,-585.448,4.85556,278.203,591.5
97.3818,-582.922,4.87792,279.484,591
111.748,-583.394,4.90164,280.844,594
123.022,-581.121,4.92101,281.953,594
136.126,-580.246,4.94282,283.203,596
150.451,-578.506,4.96682,284.578,597.75
164.579,-579.326,4.98918,285.859,602.25
177.231,-576.89,5.01045,287.078,603.5
173.776,-436.963,5.0909,291.688,470.25
180.756,-423.27,5.11599,293.125,460.25
0,0,5.17053,296.25,0
293.495,-569.861,5.18799,297.25,641
310.724,-574.903,5.20789,298.391,653.5
323.161,-566.854,5.23053,299.688,652.5
340.793,-564.04,5.25589,301.141,659
356.537,-561.344,5.27825,302.422,665
373.199,-561.848,5.29871,303.594,674.5
388.205,-558.299,5.31998,304.812,680
456.145,-569.94,5.38734,308.672,730
463.061,-554.926,5.40779,309.844,722.75
483.148,-551.233,5.43206,311.234,733
502.113,-550.371,5.45197,312.375,745
533.012,-559.845,5.47324,313.594,773
775.974,-94.8522,6.16155,353.031,781.75
773.092,-75.2956,6.1861,354.438,776.75
769.66,-40.9717,6.23,356.953,770.75
764.86,-24.4166,6.25127,358.172,765.25
764.979,-5.63678,6.27582,359.578,765
X Coordinates: ,Y Coordinates: ,Angle (Radian): ,Angle (Degree): ,Distance (Milimeters): 
764.745,2.71118,0.0035452,0.203125,764.75
762.728,20.389,0.0267253,1.53125,763
762.411,35.7876,0.0469057,2.6875,763.25
756.066,54.1125,0.0714494,4.09375,758
0,0,0.138263,7.92188,0
1897.73,269.348,0.14099,8.07812,1916.75
1883.51,309.386,0.162806,9.32812,1908.75
1874.21,352.124,0.185714,10.6406,1907
1896.77,398.847,0.207258,11.875,1938.25
1736.6,407.415,0.230438,13.2031,1783.75
1684.22,437.039,0.253891,14.5469,1740
1673.67,473.996,0.27598,15.8125,1739.5
1667.3,513.226,0.298615,17.1094,1744.5
1668.84,554.34,0.320704,18.375,1758.5
1686.66,600.902,0.342248,19.6094,1790.5
0,0,0.385063,22.0625,0
0,0,0.407425,23.3438,0
3530.4,1692.19,0.446968,25.6094,3915
1719.99,887.038,0.476147,27.2812,1935.25
1625.22,886.444,0.499327,28.6094,1851.25
531.901,357.717,0.592048,33.9219,641
511.238,362.562,0.616864,35.3438,626.75
491.669,367.773,0.642226,36.7969,614
473.801,369.342,0.662134,37.9375,600.75
462.957,379.305,0.686405,39.3281,598.5
448.097,384.193,0.708767,40.6094,590.25
442.354,395.683,0.729765,41.8125,593.5
383.278,363.519,0.758945,43.4844,528.25
351.256,351.255,0.785397,45,496.75
336.479,352.066,0.808032,46.2969,487
320.669,351.1,0.830667,47.5938,475.5
0,0,0.968657,55.5,0
0,0,0.991019,56.7812,0
77.3073,122.081,1.00629,57.6562,144.5
73.129,117.031,1.01229,58,138
70.8119,119.32,1.0352,59.3125,138.75
0,0,1.03574,59.3438,0
69.1477,121.444,1.0532,60.3438,139.75
0,0,1.05838,60.6406,0
61.3897,130.811,1.13201,64.8594,144.5
61.5794,154.963,1.19255,68.3281,166.75
57.1859,153.973,1.21518,69.625,164.25
53.3596,154.283,1.23782,70.9219,163.25
50.0153,155.662,1.25991,72.1875,163.5
46.4084,156.515,1.28254,73.4844,163.25
42.7657,157.031,1.30491,74.7656,162.75
0,0,1.30518,74.7812,0
0,0,1.32754,76.0625,0
39.3813,158.686,1.32754,76.0625,163.5
36.1627,161.245,1.35017,77.3594,165.25
28.3489,159.754,1.39517,79.9375,162.25
22.1124,187.702,1.45353,83.2812,189
17.3126,182.933,1.47644,84.5938,183.75
13.2538,183.773,1.4988,85.875,184.25
9.29017,187.019,1.52116,87.1562,187.25
5.19469,190.429,1.54352,88.4375,190.5
0.906599,195.498,1.56616,89.7344,195.5
-3.49894,200.469,1.58825,91,200.5
0,0,1.59697,91.5,0
-8.0403,201.84,1.61061,92.2812,202
0,0,1.61934,92.7812,0
-12.7223,204.354,1.63297,93.5625,204.75
-17.5841,207.506,1.65533,94.8438,208.25
0,0,1.66406,95.3438,0
-22.7306,211.281,1.67797,96.1406,212.5
0,0,1.6867,96.6406,0
0,0,1.70906,97.9219,0
0,0,1.73142,99.2031,0
-40.8938,231.922,1.74533,100,235.5
0,0,1.75405,100.5,0
-83.0666,312.395,1.83069,104.891,323.25
0,0,1.91113,109.5,0
-684.233,1918.91,1.91332,109.625,2037.25
-729.988,1909.47,1.93595,110.922,2044.25
-776.28,1904.9,1.95777,112.172,2057
-829.074,1908.17,1.98067,113.484,2080.5
-874.478,1898.26,2.00249,114.734,2090
-927.969,1900,2.02513,116.031,2114.5
-980.541,1901.3,2.04694,117.281,2139.25
-1023.77,1880.65,2.0693,118.562,2141.25
-1402.15,2457.94,2.08921,119.703,2829.75
-1383.13,2301.93,2.11185,121,2685.5
-1587.77,2393.19,2.15657,123.562,2872
-1636.17,2350.32,2.17893,124.844,2863.75
-4160.24,4793.74,2.28556,130.953,6347.25
-4475.84,4716.57,2.33001,133.5,6502.25
-4614.18,4649.56,2.35237,134.781,6550.5
-4639.72,4468.33,2.37501,136.078,6441.5
-4825.05,4448.06,2.39683,137.328,6562.5
-4993.9,4398.86,2.41946,138.625,6655
-5146.82,4335.48,2.44155,139.891,6729.5
-2304.36,975.925,2.74098,157.047,2502.5
-1093.11,420.635,2.77425,158.953,1171.25
-1103.17,395.74,2.79716,160.266,1172
-1147.16,384.88,2.81789,161.453,1210
-1218.23,377.909,2.84079,162.766,1275.5
-1219.36,349.649,2.86234,164,1268.5
-1191.9,312.761,2.88497,165.297,1232.25
-1176.53,279.41,2.90843,166.641,1209.25
-162.158,10.54,3.07669,176.281,162.5
-214.215,11.0514,3.09005,177.047,214.5
-207.976,10.6726,3.09032,177.062,208.25
0,0,3.14514,180.203,0
0,0,3.21249,184.062,0
-329.274,-25.3715,3.21849,184.406,330.25
0,0,3.23486,185.344,0
-323.761,-31.0847,3.23731,185.484,325.25
-338.046,-55.0534,3.30303,189.25,342.5
-336.604,-61.9102,3.32349,190.422,342.25
-333.812,-70.8579,3.35076,191.984,341.25
-331.965,-77.9753,3.3723,193.219,341
-329.412,-85.1908,3.39466,194.5,340.25
-328.839,-91.1941,3.41212,195.5,341.25
-326.185,-98.5578,3.43502,196.812,340.75
-324.397,-105.108,3.45493,197.953,341
-321.894,-113.296,3.48002,199.391,341.25
-320.445,-120.207,3.50047,200.562,342.25
-316.978,-129.073,3.52829,202.156,342.25
-315.315,-136.897,3.5512,203.469,343.75
-313.677,-142.433,3.56783,204.422,344.5
-310.976,-152.828,3.59838,206.172,346.5
-309.725,-158.664,3.61501,207.125,348
-307.487,-167.711,3.64092,208.609,350.25
-303.278,-175.207,3.66546,210.016,350.25
-302.053,-181.715,3.68319,211.031,352.5
-300.983,-191.054,3.70719,212.406,356.5
-298.57,-198.439,3.72818,213.609,358.5
-296.688,-206.539,3.74973,214.844,361.5
-333.641,-298.603,3.87163,221.828,447.75
-273.643,-626.059,4.30032,246.391,683.25
-256.386,-625.224,4.32323,247.703,675.75
-240.019,-625.265,4.34587,249,669.75
-221.591,-619.831,4.36905,250.328,658.25
-205.524,-619.287,4.39195,251.641,652.5
-190.579,-616.725,4.41268,252.828,645.5
-173.017,-615.391,4.43831,254.297,639.25
-158.513,-613.606,4.45959,255.516,633.75
-142.499,-612.646,4.48386,256.906,629
-127.626,-611.064,4.50649,258.203,624.25
-114.373,-607.833,4.5264,259.344,618.5
-98.3277,-605.822,4.55149,260.781,613.75
-83.2503,-604.292,4.57549,262.156,610
-69.1745,-601.284,4.59785,263.438,605.25
-55.9501,-599.897,4.61939,264.672,602.5
-43.3432,-598.683,4.64012,265.859,600.25
-27.3901,-597.372,4.66657,267.375,598
-15.7994,-597.041,4.68593,268.484,597.25
-1.34417,-614.999,4.7102,269.875,615
11.6445,-618.89,4.7312,271.078,619
24.8106,-590.479,4.75438,272.406,591
39.2609,-589.193,4.77893,273.812,590.5
52.2651,-588.182,4.80101,275.078,590.5
65.0563,-586.654,4.82283,276.328,590.25
77.9704,-586.086,4.84465,277.578,591.25
90.4186,-584.295,4.86592,278.797,591.25
103.417,-581.881,4.88828,280.078,591
117.311,-582.301,4.91119,281.391,594
131.85,-581.233,4.93546,282.781,596
142.905,-579.902,4.954,283.844,597.25
156.726,-577.356,4.97746,285.188,598.25
170.833,-576.731,5.00036,286.5,601.5
185.976,-579.909,5.02273,287.781,609
178.137,-430.067,5.10508,292.5,465.5
0,0,5.14244,294.641,0
284.735,-569.54,5.17599,296.562,636.75
314.716,-565.585,5.22017,299.094,647.25
332.716,-564.493,5.24498,300.516,655.25
347.057,-560.502,5.2668,301.766,659.25
364.138,-559.726,5.28916,303.047,667.75
378.837,-558.364,5.30852,304.156,674.75
400.239,-561.444,5.3317,305.484,689.5
427.271,-575.785,5.35079,306.578,717
450.981,-552.9,5.39661,309.203,713.5
471.022,-551.805,5.41897,310.484,725.5
491.151,-548.484,5.4427,311.844,736.25
517.861,-556.255,5.46206,312.953,760
147.706,-92.9151,5.72168,327.828,174.5
0,0,6.12965,351.203,0
779.027,-102.565,6.15228,352.5,785.75
776.086,-85.2135,6.17382,353.734,780.75
771.662,-66.2436,6.19755,355.094,774.5
769.653,-49.6067,6.21882,356.312,771.25
770.07,-32.3637,6.24118,357.594,770.75
766.633,-13.3857,6.26573,359,766.75
X Coordinates: ,Y Coordinates: ,Angle (Radian): ,Angle (Degree): ,Distance (Milimeters): 
762.957,8.1148,0.0106356,0.609375,763
761.771,27.0176,0.035452,2.03125,762.25
761.57,42.4117,0.0556323,3.1875,762.75
765.4,60.0282,0.078267,4.48438,767.75
0,0,0.144535,8.28125,0
1898.08,282.611,0.147807,8.46875,1919
1879.77,324.059,0.170715,9.78125,1907.5
1895.32,369.486,0.192531,11.0312,1931
1896.58,412.871,0.214348,12.2812,1941
1707.22,415.286,0.238619,13.6719,1757
1683.13,450.009,0.261254,14.9688,1742.25
1672.08,485.884,0.282798,16.2031,1741.25
1669.58,526.916,0.305705,17.5156,1750.75
1681.04,572.171,0.328067,18.7969,1775.75
1692.22,616.439,0.349338,20.0156,1801
318.621,164.871,0.477511,27.3594,358.75
316.494,170.504,0.494146,28.3125,359.5
320.632,183.14,0.518962,29.7344,369.25
0,0,0.593411,34,0
512.099,367.811,0.622864,35.6875,630.5
482.678,365.17,0.64768,37.1094,605.25
468.986,372.63,0.671406,38.4688,599
457.15,380.84,0.694586,39.7969,595
445.128,388.01,0.716948,41.0781,590.5
435.646,397.886,0.740128,42.4062,590
368.163,354.368,0.766308,43.9062,511
345.692,350.438,0.792215,45.3906,492.25
331.347,351.079,0.814304,46.6562,482.75
315.61,352.641,0.840757,48.1719,473.25
0,0,0.952294,54.5625,0
0,0,0.974929,55.8594,0
71.2688,118.173,1.02811,58.9062,138
69.5896,118.88,1.0412,59.6562,137.75
0,0,1.04202,59.7031,0
69.838,119.603,1.04229,59.7188,138.5
0,0,1.06465,61,0
63.7431,128.286,1.10965,63.5781,143.25
60.2704,132.155,1.14292,65.4844,145.25
61.4377,158.242,1.20046,68.7812,169.75
55.9665,154.421,1.22309,70.0781,164.25
52.18,154.686,1.24545,71.3594,163.25
49.0065,156.769,1.26782,72.6406,164.25
45.0999,156.637,1.29045,73.9375,163
0,0,1.31145,75.1406,0
41.5433,157.617,1.31309,75.2344,163
38.7592,158.582,1.33109,76.2656,163.25
0,0,1.33381,76.4219,0
34.6225,160.304,1.35808,77.8125,164
30.6037,158.828,1.38045,79.0938,161.75
26.9192,158.734,1.40281,80.375,161
0,0,1.44617,82.8594,0
20.5761,187.877,1.46171,83.75,189
0,0,1.46853,84.1406,0
16.0235,184.305,1.48407,85.0312,185
11.9788,185.864,1.50644,86.3125,186.25
7.86299,188.336,1.52907,87.6094,188.5
0,0,1.58061,90.5625,0
-4.95706,201.939,1.59534,91.4062,202
0,0,1.60325,91.8594,0
-9.47121,201.778,1.6177,92.6875,202
0,0,1.62561,93.1406,0
-14.2402,205.257,1.64006,93.9688,205.75
0,0,1.64797,94.4219,0
-19.2379,209.368,1.66242,95.25,210.25
0,0,1.67033,95.7031,0
0,0,1.69297,97,0
0,0,1.71533,98.2812,0
-60.598,261.829,1.79823,103.031,268.75
-77.1486,309.788,1.81487,103.984,319.25
-83.9718,310.34,1.83505,105.141,321.5
0,0,1.93977,111.141,0
-1413.06,2435.22,2.09657,120.125,2815.5
-83.7682,144.182,2.09712,120.156,166.75
-1578.18,2460.93,2.14103,122.672,2923.5
-1590.78,2362.61,2.16339,123.953,2848.25
-1850.49,2622.94,2.1852,125.203,3210
-2327.68,1030.28,2.72489,156.125,2545.5
-1094.68,413.716,2.78025,159.297,1170.25
-1113.64,391.633,2.80343,160.625,1180.5
-1160.1,380.794,2.82443,161.828,1221
-1252.8,381.156,2.84625,163.078,1309.5
-1212.71,339.169,2.86888,164.375,1259.25
-1187.54,303.669,2.89124,165.656,1225.75
-1170.78,269.962,2.91497,167.016,1201.5
-289.945,38.575,3.00933,172.422,292.5
-167.711,9.845,3.08296,176.641,168
0,0,3.08405,176.703,0
-218.778,9.85154,3.09659,177.422,219
-3272.15,124.103,3.10368,177.828,3274.5
-334.833,-16.723,3.1915,182.859,335.25
-329.951,-26.329,3.22122,184.562,331
-317.447,-31.4397,3.24031,185.656,319
-345.253,-47.4654,3.27822,187.828,348.5
-337.186,-55.6686,3.30521,189.375,341.75
-334.451,-62.552,3.32649,190.594,340.25
-333.4,-70.3904,3.34967,191.922,340.75
-331.022,-78.7069,3.37503,193.375,340.25
-329.09,-84.4376,3.39275,194.391,339.75
-327.145,-91.6858,3.41484,195.656,339.75
-324.808,-101.34,3.44402,197.328,340.25
-322.43,-109.449,3.46884,198.75,340.5
-321.05,-114.182,3.48329,199.578,340.75
-318.976,-124.743,3.51438,201.359,342.5
-318.119,-130.246,3.5302,202.266,343.75
-314.525,-138.701,3.55692,203.797,343.75
-313.343,-146.738,3.57956,205.094,346
-311.722,-151.3,3.59347,205.891,346.5
-309.296,-160.044,3.6191,207.359,348.25
-308.354,-168.73,3.64228,208.688,351.5
-302.917,-177.32,3.67119,210.344,351
-303.017,-183.987,3.68728,211.266,354.5
-301.087,-190.89,3.70664,212.375,356.5
-298.679,-198.276,3.72764,213.578,358.5
-298.802,-210.927,3.75627,215.219,365.75
-294.251,-638.731,4.28069,245.266,703.25
-271.179,-627.403,4.30441,246.625,683.5
-255.722,-626.035,4.32459,247.781,676.25
-237.876,-625.281,4.34887,249.172,669
-219.9,-620.433,4.37177,250.484,658.25
-202.678,-619.172,4.39604,251.875,651.5
-188.406,-615.04,4.41513,252.969,643.25
-171.473,-615.044,4.4405,254.422,638.5
-157.824,-613.009,4.4604,255.562,633
-141.933,-610.211,4.48386,256.906,626.5
-125.454,-608.962,4.50922,258.359,621.75
-111.419,-607.619,4.53103,259.609,617.75
-96.9662,-605.789,4.55367,260.906,613.5
-83.7031,-602.716,4.5744,262.094,608.5
-68.3546,-601.378,4.59921,263.516,605.25
-54.6639,-600.266,4.62157,264.797,602.75
-42.037,-598.776,4.6423,265.984,600.25
-27.5299,-596.865,4.6663,267.359,597.5
-14.7026,-598.82,4.68784,268.594,599
-2.52943,-617.745,4.70829,269.766,617.75
11.4386,-616.894,4.73093,271.062,617
27.2142,-590.123,4.75847,272.641,590.75
39.532,-588.424,4.77947,273.844,589.75
52.5414,-587.656,4.80156,275.109,590
65.3762,-586.618,4.82338,276.359,590.25
78.9219,-584.698,4.84656,277.688,590
90.7813,-583.48,4.86674,278.844,590.5
103.505,-582.374,4.88828,280.078,591.5
118.005,-581.65,4.91255,281.469,593.5
129.992,-580.37,4.93273,282.625,594.75
143.259,-579.299,4.95482,283.891,596.75
157.107,-577.512,4.978,285.219,598.5
171.919,-576.93,5.002,286.594,602
186.522,-580.521,5.02327,287.812,609.75
176.991,-431.621,5.10154,292.297,466.5
0,0,5.14872,295,0
286.148,-567.713,5.17926,296.75,635.75
301.172,-568.672,5.19944,297.906,643.5
314.132,-565.624,5.21935,299.047,647
332.227,-565.071,5.24389,300.453,655.5
349.316,-563.807,5.26707,301.781,663.25
365.911,-562.45,5.28916,303.047,671
381.603,-559.808,5.31071,304.281,677.5
400.575,-559.975,5.33334,305.578,688.5
429.003,-574.184,5.35407,306.766,716.75
452.216,-553.182,5.3977,309.266,714.5
470.558,-551.872,5.41842,310.453,725.25
492.702,-551.122,5.44188,311.797,739.25
520.551,-558.533,5.4626,312.984,763.5
783.374,-119.921,6.13128,351.297,792.5
776.43,-97.2727,6.15855,352.859,782.5
774.518,-78.6341,6.18201,354.203,778.5
770.318,-42.6922,6.22782,356.828,771.5
766.326,-25.5094,6.24991,358.094,766.75
768.952,-8.6021,6.272,359.359,769
X Coordinates: ,Y Coordinates: ,Angle (Radian): ,Angle (Degree): ,Distance (Milimeters): 
762.064,16.8362,0.0220893,1.26562,762.25
760.775,33.2161,0.0436332,2.5,761.5
760.826,50.4923,0.0662679,3.79688,762.5
0,0,0.130627,7.48438,0
1917.36,258.811,0.134172,7.6875,1934.75
1880.97,298.442,0.157352,9.01562,1904.5
1871.37,339.979,0.179714,10.2969,1902
1901.05,386.773,0.200713,11.5,1940
1884.13,427.415,0.223075,12.7812,1932
1696.73,427.468,0.2468,14.1406,1749.75
1677.35,462.708,0.269162,15.4219,1740
1669.05,502.326,0.292342,16.75,1743
1676.95,544.874,0.314159,18,1763.25
1685.67,588.662,0.335976,19.25,1785.5
1722.01,643.299,0.357519,20.4844,1838.25
1809.72,915.267,0.468239,26.8281,2028
1639.86,878.822,0.491964,28.1875,1860.5
324.802,177.732,0.500691,28.6875,370.25
1613.7,911.826,0.514326,29.4688,1853.5
545.778,361.242,0.584685,33.5,654.5
512.664,357.93,0.609501,34.9219,625.25
501.103,366.793,0.631863,36.2031,621
476.106,366.775,0.656407,37.6094,601
466.557,374.869,0.67686,38.7812,598.5
454.142,384.034,0.701949,40.2188,594.75
442.82,391.774,0.724311,41.5,591.25
433.582,401.238,0.746673,42.7812,590.75
359.396,352.985,0.776398,44.4844,503.75
343.644,353.145,0.799033,45.7812,492.75
326.407,353.298,0.82494,47.2656,481
81.908,122.367,0.980929,56.2031,147.25
71.9152,118.658,1.02593,58.7812,138.75
70.6232,118.56,1.03356,59.2188,138
0,0,1.04747,60.0156,0
69.3874,121.019,1.0502,60.1719,139.5
0,0,1.06983,61.2969,0
67.7709,123.93,1.07038,61.3281,141.25
0,0,1.09219,62.5781,0
65.6729,126.746,1.09274,62.6094,142.75
62.1,129.921,1.12492,64.4531,144
61.3052,132.505,1.13746,65.1719,146
54.9137,154.002,1.22827,70.375,163.5
51.3778,154.954,1.25064,71.6562,163.25
47.9735,156.304,1.273,72.9375,163.5
44.4665,157.337,1.29536,74.2188,163.5
40.8121,157.808,1.31772,75.5,163
37.3442,159.178,1.34036,76.7969,163.5
0,0,1.36054,77.9531,0
33.6724,159.484,1.36272,78.0781,163
30.0517,159.951,1.38508,79.3594,162.75
0,0,1.42762,81.7969,0
23.0811,162.62,1.42981,81.9219,164.25
0,0,1.44999,83.0781,0
0,0,1.47235,84.3594,0
15.1986,184.124,1.48844,85.2812,184.75
11.2636,186.66,1.51053,86.5469,187
0,0,1.58416,90.7656,0
-5.82755,199.665,1.59997,91.6719,199.75
0,0,1.60652,92.0469,0
-7.85883,202.848,1.60952,92.2188,203
-15.3946,207.931,1.6447,94.2344,208.5
0,0,1.65124,94.6094,0
-20.4582,211.262,1.66733,95.5312,212.25
0,0,1.67361,95.8906,0
0,0,1.69597,97.1719,0
-35.3684,229.794,1.72351,98.75,232.5
0,0,1.76305,101.016,0
-56.8621,258.828,1.78705,102.391,265
-83.6653,313.27,1.83178,104.953,324.25
0,0,1.89723,108.703,0
-656.066,1907.05,1.90213,108.984,2016.75
-706.591,1916.92,1.92395,110.234,2043
-757.292,1917.9,1.94686,111.547,2062
-796.755,1894.26,1.96895,112.812,2055
-854.185,1914.32,1.99049,114.047,2096.25
-898.13,1894.93,2.0134,115.359,2097
-949.849,1894.75,2.03549,116.625,2119.5
-1373.96,2475.52,2.07749,119.031,2831.25
-1435.75,2457.3,2.09957,120.297,2846
-1571.73,2434.77,2.14403,122.844,2898
-1604.26,2365.88,2.16666,124.141,2858.5
-3764.16,4866.98,2.22911,127.719,6152.75
-4438.4,4796.2,2.31747,132.781,6534.75
-4585.91,4738.52,2.33983,134.062,6594.25
-4680.6,4622.27,2.36246,135.359,6578.25
-4718.68,4458.35,2.38455,136.625,6491.75
-4922.19,4446.58,2.40692,137.906,6633.25
-5042.66,4357.04,2.42901,139.172,6664.25
-5246.56,4334.57,2.45109,140.438,6805.5
-5396.89,3698.37,2.54082,145.578,6542.5
-2036.76,1065.22,2.65972,152.391,2298.5
-2300.4,1012.21,2.72707,156.25,2513.25
-1092.17,409.028,2.78325,159.469,1166.25
-1118.17,390.826,2.80534,160.734,1184.5
-1172.92,381.815,2.82689,161.969,1233.5
-1253.87,378.494,2.84843,163.203,1309.75
-1208.37,333.339,2.87243,164.578,1253.5
-1182.47,298.252,2.89452,165.844,1219.5
-1169.9,267.074,2.91715,167.141,1200
-176.077,15.4052,3.05432,175,176.75
0,0,3.08214,176.594,0
-228.361,13.3427,3.08323,176.656,228.75
-170.481,9.58776,3.08541,176.781,170.75
-696.975,19.5842,3.1135,178.391,697.25
-331.375,-20.3576,3.20295,183.516,332
-329.312,-27.9959,3.2264,184.859,330.5
-315.006,-33.1944,3.24658,186.016,316.75
-339.452,-50.9198,3.29049,188.531,343.25
-337.95,-58.639,3.3134,189.844,343
-336.033,-63.607,3.32867,190.719,342
-332.285,-73.1896,3.35839,192.422,340.25
-331,-78.7971,3.3753,193.391,340.25
-328.317,-87.3957,3.40175,194.906,339.75
-328.793,-93.2122,3.41784,195.828,341.75
-324.797,-102.212,3.44648,197.469,340.5
-322.994,-108.561,3.46584,198.578,340.75
-322.244,-115.3,3.4852,199.688,342.25
-320.048,-124.057,3.51138,201.188,343.25
-317.603,-130.845,3.53238,202.391,343.5
-314.451,-139.488,3.55911,203.922,344
-313.606,-144.988,3.57465,204.812,345.5
-311.804,-153.975,3.60028,206.281,347.75
-308.99,-160.635,3.62101,207.469,348.25
-306.625,-168.763,3.64474,208.828,350
-306.381,-176.331,3.66382,209.922,353.5
-302.576,-185.19,3.69082,211.469,354.75
-301.933,-191.889,3.70773,212.438,357.75
-296.785,-200.654,3.73609,214.062,358.25
-295.637,-207.607,3.75382,215.078,361.25
0,0,3.77536,216.312,0
-318.388,-533.17,4.17406,239.156,621
-296.251,-647.716,4.28342,245.422,712.25
-268.782,-628.433,4.30823,246.844,683.5
-251.107,-624.938,4.33032,248.109,673.5
-236.334,-625.331,4.35105,249.297,668.5
-216.966,-616.962,4.37423,250.625,654
-200.636,-620.362,4.39959,252.078,652
-184.233,-615.781,4.42168,253.344,642.75
-168.761,-613.72,4.44404,254.625,636.5
-153.748,-613.787,4.46695,255.938,632.75
-137.767,-611.934,4.49095,257.312,627.25
-123.843,-609.547,4.51195,258.516,622
-108.436,-604.349,4.53485,259.828,614
-94.7897,-604.868,4.55694,261.094,612.25
-79.7565,-600.729,4.58039,262.438,606
-65.1299,-600.73,4.60439,263.812,604.25
-51.3465,-600.057,4.62703,265.109,602.25
-36.8101,-599.12,4.65103,266.484,600.25
-23.3168,-597.545,4.67339,267.766,598
-11.4377,-607.642,4.69357,268.922,607.75
3.29325,-604.241,4.71784,270.312,604.25
15.5997,-615.052,4.73775,271.453,615.25
28.3527,-590.32,4.76038,272.75,591
42.1169,-588.495,4.78383,274.094,590
56.2263,-587.315,4.80783,275.469,590
68.255,-586.29,4.82829,276.641,590.25
80.0718,-584.794,4.84847,277.797,590.25
94.2807,-583.938,4.87246,279.172,591.5
107.586,-583.159,4.89483,280.453,593
121.437,-581.454,4.91828,281.797,594
134.882,-582.077,4.9401,283.047,597.5
147.267,-578.551,4.96164,284.281,597
160.699,-578.858,4.98318,285.516,600.75
173.433,-575.693,5.005,286.766,601.25
161.531,-481.898,5.03582,288.531,508.25
174.229,-450.213,5.08163,291.156,482.75
178.106,-428.997,5.1059,292.547,464.5
0,0,5.13944,294.469,0
289.167,-565.619,5.18499,297.078,635.25
313.685,-584.949,5.20462,298.203,663.75
320.258,-565.34,5.2278,299.531,649.75
333.744,-560.979,5.24907,300.75,652.75
350.783,-561.717,5.27062,301.984,662.25
368.467,-561.676,5.29298,303.266,671.75
384.793,-557.924,5.31616,304.594,677.75
429.26,-568.362,5.35925,307.062,712.25
452.089,-573.799,5.3797,308.234,730.5
456.987,-553.145,5.40288,309.562,717.5
474.473,-548.84,5.42524,310.844,725.5
495.771,-549.71,5.44624,312.047,740.25
527.514,-559.545,5.46833,313.312,769
781.236,-113.931,6.13837,351.703,789.5
778.092,-107.627,6.14574,352.125,785.5
774.288,-87.7953,6.17028,353.531,779.25
775.156,-72.0837,6.19046,354.688,778.5
767.64,-53.4723,6.21364,356.016,769.5
771.88,-36.6582,6.23573,357.281,772.75
765.289,-17.9556,6.25973,358.656,765.5
763.999,-1.25415,6.28154,359.906,764
X Coordinates: ,Y Coordinates: ,Angle (Radian): ,Angle (Degree): ,Distance (Milimeters): 
763.999,1.04174,0.00136354,0.078125,764
761.79,17.8694,0.0234528,1.34375,762
759.923,35.4632,0.046633,2.67188,760.75
756.973,51.8956,0.0684496,3.92188,758.75
0,0,0.135808,7.78125,0
1916.04,266.618,0.138263,7.92188,1934.5
1897.92,308.032,0.160897,9.21875,1922.75
1884.37,350.841,0.184078,10.5469,1916.75
1906.34,397.061,0.205349,11.7656,1947.25
1775.73,413.532,0.228802,13.1094,1823.25
1688.32,434.173,0.251709,14.4219,1743.25
